Intake number,Address,Manual Status,Status,Verification
1080,5902 MAXWELL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1081,1354 ELLIOTT RD #2 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1082,1012 1/2 MAPLE PARK DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1083,1748 STARDUST LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1084,1748 STARDUST LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1085,649 BUSCHMANN RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1086,15139 JACK PINE WAY MAGALIA CA 95954,,No Visible Damage,unverified
1087,15000 CULIACON CT FOREST RANCH CA 95942,,No Visible Damage,unverified
1088,2050 HONEY RUN RD CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1089,1676 NUNNELEY RD PARADISE CA 95969,,Destroyed (>50%),unverified
1090,6148 CLARK RD #2 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1091,14900 CRESENT DR MAGALIA CA 95954,,No Visible Damage,unverified
1092,6104 ERIE CT MAGALIA CA 95954,,No Visible Damage,unverified
1093,5975 MAXWELL DR #20 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1094,1633 NUNNELY RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1095,14011 CRESTON RD MAGALIA CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1096,5821 CLARK RD #443 PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1097,676 SUNSET DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1098,6312 AZALEA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1099,2212 HONEY RUN RD CHICO CA 95928,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1100,APARTMENTS ON SKWY #A6 PARADISE CA 95969,,Uncertain (Nearby features vary in damage),unverified
1101,14189 WINGATE CIR MAGALA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1102,13607 SOUTH PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1103,14341 SINCLAIR CIR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
1104,13821 FERGUSON DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1105,6730 INDIAN DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1106,3943 HOFFMAN RD oroville CA 95965,Destroyed (>50%),Destroyed (>50%),match
1107,5578 HEAVENLY PL paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1108,14755 GOLDCONE DR MAGALIA CA 95954,No Visible Damage,Destroyed (>50%),mismatch
1109,13290 MEADOW SPRINGS RD oroville CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1110,6364 WAKE CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1111,5428 s Libby Rd Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1112,6234 AZALEA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1113,5526 PALOMA AVE #D PARADISE CA 95969,Destroyed (>50%),Affected (1-9%),mismatch
1114,13816 GLOVER LN MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1115,894 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1116,1550 SAWPECK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1117,14819 MASTERSON WAY MAGALIA CA 95954,,No Visible Damage,unverified
1118,6371 Cumberland Rd Magalia CA 95954,No Visible Damage,No Visible Damage,match
1119,508 FRIENDLY WAY PARADISE CA 96969,Destroyed (>50%),Destroyed (>50%),match
1120,5110 PENTZ RD #16 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1121,6273 VIRGINIA WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1122,534 HORSESHOE HILL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1123,5110 pentz Rd Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1124,1663 WEE DELL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1125,6189 CLARK RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1126,6477 PURDUE CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1127,6350 AMHERST WAY MAGALIA CA 95954,,No Visible Damage,unverified
1128,5 LAURELWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1129,14844 WILDLIFE DR MAGALIA CA 95954,,No Visible Damage,unverified
1130,1652 COTTONTAIL LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1131,931 ELLIOTT RD #C PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1132,654 DOGWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1133,1416 Burdaparadise Ln Paradise CA,Destroyed (>50%),Destroyed (>50%),match
1134,1453 TONI DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1135,1416 Burdaparadise Ln Paradise CA,Destroyed (>50%),Destroyed (>50%),match
1136,6259 OAK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1137,5436 CLARKE RD #17 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1138,654 DOGWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1139,654 DOGWOOD LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1140,565 SHOCK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1141,13470 CIRBY CREEK RD #B oroville CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1142,707 DAMROW LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1143,14455 SKWY MAGALIA CA 95954,,No Visible Damage,unverified
1144,13727 EUREKA DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1145,5505 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1146,17045 manzanita ST Stirling city CA 95978,,No Visible Damage,unverified
1147,6148 CLARK RD #1 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1148,13470 Cirby Creek Rd OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1149,536 VALLEY VW PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1150,536 VALLEY VW PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1151,17206 MANZANITA ST STIRRING CITY CA 95978,,No Visible Damage,unverified
1152,536 VALLEY VW PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1153,6193 GREENWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1154,6234 KILGORD CT MAGALIA CA 95954,,No Visible Damage,unverified
1155,1567 SAWPECK WAY #B PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1156,1309 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1157,1237 STORYBOOK LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1158,5939 YORKSHIRE DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1159,6717 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1160,5464 Sawmill Rd #A Paradise CA 95959,No Visible Damage,Destroyed (>50%),mismatch
1161,5601 JEWELL RD #17 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1162,1926 HONEY RUN RD CHICO CA 95928,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1163,6624 DELORES DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1164,587 VALLEY VIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1165,14823 GLEN WOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
1166,6760 WOODLAND DR PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1167,1251 STORYBOOK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1168,5715 BONNIE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1169,4821 SALMON DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1170,6352 AMHERST WAY MAGALIA CA 95954,,No Visible Damage,unverified
1171,1471 MABELLE WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1172,4860 CHATEAU WAY FOREST RANCH CA 95942,,No Visible Damage,unverified
1173,6177 LAUREL DR PARADISE CA 96969,Destroyed (>50%),Destroyed (>50%),match
1174,5889 OLIVER RD #2 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1175,1566 SAWPECK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1176,5768 Bonnie ln #B Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1177,2920 CLARK RD #D10 BUTTE VALLEY CA 95965,No Visible Damage,No Visible Damage,match
1178,1401 AMY LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1179,6694 BROOK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1180,1275 DEER LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1181,6139 BOWMAN DR PARADISE CA 95969-3337,Destroyed (>50%),Destroyed (>50%),match
1182,685 VAN FOSSEN RD PARADISE CA 95959,Destroyed (>50%),Destroyed (>50%),match
1183,5658 CLARA LN #b PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1184,1721 LAZY OAKS CIR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1185,6582 ROCKY LN #27 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1186,5567 FOLAND RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1187,13641 EINSTOSS CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1188,14820 GLENWOOD DR MAGALIA CA 95954,,No Visible Damage,unverified
1189,621 CIRCLEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1190,14322 SKWY MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1191,5673 BROOKVIEW WAY PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1192,1290 LUCKY LADY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1193,5453 PRINCETON WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1194,14155 RACINE CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1195,5133 FEATHER ROCK CT PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1196,6799 SKWY #39 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1197,899 BILLE RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1198,6120 WINDTUNE PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1199,6277 OLIVER RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1200,6518 HOLLYWOOD RD MAGALIA CA 95954,,No Visible Damage,unverified
1201,14188 SHERWOOD CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1202,15011 Vorheis ln Magalia CA 95954,,No Visible Damage,unverified
1203,992 MAPLE PARK DR PARADISE CA 95869,Destroyed (>50%),Destroyed (>50%),match
1204,5220 OLD CLARK RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1205,5084 PENTZ RD #42 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1206,6700 MACHUGA LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1207,4035 CEDAR RANCH RD OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1208,1571 WAGSTaff RD #2 PARADISE CA 95969,,Destroyed (>50%),unverified
1209,13910 IONA CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1210,5227 XENO PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1211,6184 Linda Lee Ct Magalia CA 95954,Destroyed (>50%),Destroyed (>50%),match
1212,15086 TOREY PINE RD MAGALIA CA 95954,,No Visible Damage,unverified
1213,9289 SKWY #87 Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1214,13940 ANDOVER DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1215,5310 DECEPTION RIVER RD BUTTE CREEK CANYON CA 95928,,No Visible Damage,unverified
1216,8742 NUGGET LN PARADISE CA 95969,Affected (1-9%),Destroyed (>50%),mismatch
1217,6674 LENTZ RD #125 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1218,6786 indian dr #a Magalia CA 95954,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1219,5975 MAXWELL DR #8 PARADISE CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1220,5871 COPELAND DR #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1221,5589 FOLAND RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1222,6744 Ishi Dr Magalia CA 95954,Destroyed (>50%),Destroyed (>50%),match
1223,1146 Elliott Rd #11 Paradise CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1224,5935 CRESTVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1225,1433 BENNETT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1226,1425 ANDREA LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1227,13915 CHESTNUT CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1228,787 COLLEGE HILL RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1229,1747 tara LN Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1230,1146 Elliott Rd #11 Paradise CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1231,8742 NUGGET LN PARADISE CA 95969,Affected (1-9%),Destroyed (>50%),mismatch
1232,2396 CLEARVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1233,1230 ELLIOTT RD #25 PARADISE CA 96969,Destroyed (>50%),Destroyed (>50%),match
1234,6680 QUAIL WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1235,3834 CAMELOT LN OROVILLE CA 95965,Destroyed (>50%),Destroyed (>50%),match
1236,5778 STRATTON LN PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
1237,6675 TWIN OAKS DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1238,1077 Shadowbrook way #17 Paradise CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1239,6226 BERKSHIRE AVE PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1240,1857 NORWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1241,5778 STRATTON LN PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
1242,7284 PENTZ RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1243,2396 CLEARVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1244,5687 woodglen DR paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1245,Shdjn	155	Chico	CA	95928,,Uncertain (Nearby features vary in damage),unverified
1246,5585 De sante LN Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1247,13717 Andover DR Magalia CA 95954,Destroyed (>50%),Destroyed (>50%),match
1248,1348 ELLIOTT RD #5 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1249,401 CIRCLEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1250,5915 PINEVIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1251,1668 Gate Ln Paradise CA 95969,,Destroyed (>50%),unverified
1252,6110 VISTA KNOLLS DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1253,1192 BILLE RD PATADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1254,5102 WILDERNESS WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1255,617 CASTLE DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1256,1422 KELLER LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1257,6234 HIMMEL ST PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1258,14791 MAGALIA DR MAGALIA CA 95954,,No Visible Damage,unverified
1259,14080 TEMPLE CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1260,6477 PERRY RD MAGALIA CA 95954,,No Visible Damage,unverified
1261,926 DEER CREEK LN PARADISE CA CA95969,Destroyed (>50%),Destroyed (>50%),match
1262,1644 Which way Paradise CA 95969,No Visible Damage,Destroyed (>50%),mismatch
1263,1857 CLEAR BROOK LN PARADISE CA 95969,,Uncertain (Nearby features vary in damage),unverified
1264,1626 JARAMILLO LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1265,14147 Racine Cir Magalia CA 95954,Destroyed (>50%),Destroyed (>50%),match
1266,1857 CLEAR BROOK LN PARADISE CA 95969,,Uncertain (Nearby features vary in damage),unverified
1267,1626 CYPRESS AVE PARADISE CA 95969,,Destroyed (>50%),unverified
1268,5772 DEER PARK LN #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1269,6920 CLARK RD #28 PARADISE CA 95969,,No Visible Damage,unverified
1270,5735 SHADY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1271,14450 BRITZ DR MAGALIA CA 95954,,No Visible Damage,unverified
1272,533 VALLEY VIEW DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1273,6128 CLARK RD #1 PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1274,629 CIRCLE WOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1275,5350 FILBERT ST PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1276,1565 KAY CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1277,6633 EVERGREEN LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1278,14081 WYCLIFF WAY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1279,6376 CUMBERLAND RD MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
1280,5591 BUTTE VIEW TER PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1281,988 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1282,14784 MAGNOLIA DR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
1283,629 CIRCLEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1284,6418 VENTURA DR MAGALIA CA 95969,Destroyed (>50%),Destroyed (>50%),match
1285,1348 ELLIOTT RD #5 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1286,5818 GRADLEY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1287,1641 TIMBER LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1288,1565 KAY CT #D PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1289,6374 FOREST LN #A PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1290,772 WILLOW ST PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1291,6924 SUBKE LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1292,1700 CONNEL LN PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1293,1560 KAY CT PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1294,14774 DEL ORO DR MAGALIA CA 95954,No Visible Damage,No Visible Damage,match
1295,6256 PUEBLO DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1296,696 EDWARDS LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1297,5393 Sawmill Rd #11 Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1298,1567 SAWPECK WAY #B PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1299,7726 SKWY Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1300,3960 STONEY BROOK LN PARADISE CA 95969,,Uncertain (Nearby features vary in damage),unverified
1301,5771 DEER PARK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1302,13400 HOG RANCH RD oroville CA 95965,Destroyed (>50%),No Visible Damage,mismatch
1303,4203 ISHI TRL oroville CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1304,6162 ALAMO WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1305,13968 JARVIS CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1306,5048 BIG BeND RD CONCAL CA 95966,No Visible Damage,No Visible Damage,match
1307,5049 NOBB RD Oroville ca 95965,Destroyed (>50%),Destroyed (>50%),match
1308,14360 SKWY MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1309,5780 HOMESTEAD PL PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1310,6290 VICTORIA CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1311,661 DOGWOOD LN PARADIS3 CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1312,5568 VISTA WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1313,1555 SAWPECK WAY #B PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1314,6656 pentz rd #43 paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1315,1383 ELLIOTTT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1316,931 Central park Dr Praidas CA 95969,Destroyed (>50%),Destroyed (>50%),match
1317,9289 SKWY #58 Paradise CA 95969,Destroyed (>50%),No Visible Damage,mismatch
1318,931 Central park Dr Praidas CA 95969,Destroyed (>50%),Destroyed (>50%),match
1319,4 TOBIN CT OROVILLE CA 95965,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1320,6098 LAUREL DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1321,6078 CLARK RD #1 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1322,6241 LANCASTER DR PARADISE CA 95969,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1323,13524 AUTUMN LN CHICO CA 95928,,No Visible Damage,unverified
1324,5595 HONEY VIEW TER PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1325,5969 LUNT RD Oroville ca 95965,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1326,6217 PARKER WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1327,5521 GARDENERS LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1328,13789 W PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1329,13784 SOUTH PARK DR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1330,12145 S STONERIDGE CIR PARADISE CA 95969,No Visible Damage,No Visible Damage,match
1331,16116 LOVELYCK RD MAGALIA CA 95956,,No Visible Damage,unverified
1332,628 CIRCLEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1333,337 CIRCLEWOOD DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1334,13968 JARVIS CIR MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1335,5298 EDGEWOOD LN MAGALIA CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1336,5615 SKWY PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1337,5658 CLARA LN #b PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1338,806 Luther Dr #1	Paradise	CA 95969,Destroyed (>50%),Destroyed (>50%),match
1339,806 Luther Dr #1	Paradise	CA 95969,Destroyed (>50%),Destroyed (>50%),match
1340,1725 STARK LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1341,1397 FoReST SERVICE RD PARADISE CA 95969,No Visible Damage,Destroyed (>50%),mismatch
1342,5081 WILDERNESS WAY #A9 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1343,5892 MAXWELL DR PARADIZE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1344,701 WAGSTAFF RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1345,4333 pentz RD  #19a Paradise CA	95969,,No Visible Damage,unverified
1346,658 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1347,1393 ORPUT LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1348,15220 NORTHLAKE RD MAGALIA CA 95954,,No Visible Damage,unverified
1349,6570 FIRLAND DR #B PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1350,14586 ASHEVILLE DR MAGALIA CA 95954,,No Visible Damage,unverified
1351,3941 windermere LN Oroville ca 95969,Destroyed (>50%),Destroyed (>50%),match
1352,1138 NOFFSINGER LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1353,1670 KENFORD WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1354,621CASTLE DR PARADISE CA CA 95969,Destroyed (>50%),Destroyed (>50%),match
1355,13640 ED CT MAGALIA CA 95954,Destroyed (>50%),Destroyed (>50%),match
1356,6665 DOLORES DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1357,1009 BILLE RD #2 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1358,13422 SURCEASA MINE RD Oroville ca 95965,No Visible Damage,No Visible Damage,match
1359,5729 SHADY LN PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1360,972 PEARSON RD PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1361,972 pearson rd Paradise CA 95969,Destroyed (>50%),Destroyed (>50%),match
1362,6665 DOLORES DR PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1363,13892 HOOD CT MAGALIA CA 95969,Destroyed (>50%),Destroyed (>50%),match
1364,14753 WILDLIFE DR MAGALIA CA 95954,,No Visible Damage,unverified
1365,1591 SAWPACK WAY PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1366,5430 SAWMILL RD #5 PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1367,5153 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1368,1150 PEARSON RD #C PARADISE CA 95969,Destroyed (>50%),Destroyed (>50%),match
1369,4901 SKWY #D Paradise CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
1370,13588 WICHITA DR MAGALIA CA 95954,No Visible Damage,Uncertain (Nearby features vary in damage),uncertain
1371,533 ROBERTS RD PARADISE CA 95969,Destroyed (>50%),Uncertain (Nearby features vary in damage),uncertain
