Intake #,Full Addr,Damage,Notes,Reviewer,interactive map,http://calfire-forestry.maps.arcgis.com/apps/webappviewer/index.html?id=5306cc8cf38c4252830a38d467d33728&extent=-13547810.5486%2C4824920.1673%2C-13518764.4778%2C4841526.1117%2C102100,Street,City,State,Zipcode,temp,Intake #
485,1323 BRILL RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,1323 BRILL RD,PARADISE,CA,95969,1323 BRILL RD PARADISE,485
486,5851 JAMES DR #C PARADISE CA 95969,Destroyed (>50%),,Leon,,,5851 JAMES DR #C,PARADISE,CA,95969,5851 JAMES DR #C PARADISE,486
487,1646 LOG CABIN LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,1646 LOG CABIN LN,PARADISE,CA,95969,1646 LOG CABIN LN PARADISE,487
488,262 TRANQUIL DR PARADISE CA 96969,Destroyed (>50%),,Leon,,,262 TRANQUIL DR,PARADISE,CA,96969,262 TRANQUIL DR PARADISE,488
489,13716 W PARK DR MAGALIA CA 95954,Destroyed (>50%),,Leon,,,13716 W PARK DR,MAGALIA,CA,95954,13716 W PARK DR MAGALIA,489
490,1611 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,1611 ELLIOTT RD,PARADISE,CA,95969,1611 ELLIOTT RD PARADISE,490
491,14435C SKWY MAGALIA CA 95954,,No data,Leon,,,14435C SKWY,MAGALIA,CA,95954,14435C SKWY MAGALIA,491
492,6849 DARREN LN PARADISE CA 95969,Destroyed (>50%),,Leon,,,6849 DARREN LN,PARADISE,CA,95969,6849 DARREN LN PARADISE,492
493,975 VILLAGE PKWY #B PARADISE CA 95969,Destroyed (>50%),,Leon,,,975 VILLAGE PKWY #B,PARADISE,CA,95969,975 VILLAGE PKWY #B PARADISE,493
494,5429 S LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,5429 S LIBBY RD,PARADISE,CA,95969,5429 S LIBBY RD PARADISE,494
495,6808 LEONE WAY PARADISE CA 95969,Destroyed (>50%),,Leon,,,6808 LEONE WAY,PARADISE,CA,95969,6808 LEONE WAY PARADISE,495
496,1272 BILLE RD PARADISE CA 95969,Destroyed (>50%),,Leon,,,1272 BILLE RD,PARADISE,CA,95969,1272 BILLE RD PARADISE,496
497,5890 CRESTMOOR DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,5890 CRESTMOOR DR,PARADISE,CA,95969,5890 CRESTMOOR DR PARADISE,497
498,13491 AUROA CT MAGALIA CA 95954,Destroyed (>50%),,Leon,,,13491 AUROA CT,MAGALIA,CA,95954,13491 AUROA CT MAGALIA,498
499,1455 BEL AIR DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,1455 BEL AIR DR,PARADISE,CA,95969,1455 BEL AIR DR PARADISE,499
500,798 CAMELLIA DR PARADISE CA 95969,Destroyed (>50%),,Leon,,,798 CAMELLIA DR,PARADISE,CA,95969,798 CAMELLIA DR PARADISE,500
501,5340 HARRISON RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5340 HARRISON RD,PARADISE,CA,95969,5340 HARRISON RD PARADISE,501
502,6384 LANCASTER DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6384 LANCASTER DR,PARADISE,CA,95969,6384 LANCASTER DR PARADISE,502
503,479 VALLEY VIEW DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,479 VALLEY VIEW DR,PARADISE,CA,95969,479 VALLEY VIEW DR PARADISE,503
504,1280 WAGSTAFF RD #58 PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1280 WAGSTAFF RD #58,PARADISE,CA,95969,1280 WAGSTAFF RD #58 PARADISE,504
505,500 HILLVIEW RIDGE LN #203 OROVILLE CA 95966,,No data in this address to verify,Jimmy,,,500 HILLVIEW RIDGE LN #203,OROVILLE,CA,95966,500 HILLVIEW RIDGE LN #203 OROVILLE,505
506,15079 PIÑON RD MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,15079 PIÑON RD,MAGALIA,CA,95954,15079 PIÑON RD MAGALIA,506
507,567 VALLEY VIEW DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,567 VALLEY VIEW DR,PARADISE,CA,95969,567 VALLEY VIEW DR PARADISE,507
508,1214 ARLENE WAY #B PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1214 ARLENE WAY #B,PARADISE,CA,95969,1214 ARLENE WAY #B PARADISE,508
509,14360 SKWY #C6 MAGALIA CA 95954,No Visible Damage,,Jimmy,,,14360 SKWY #C6,MAGALIA,CA,95954,14360 SKWY #C6 MAGALIA,509
510,1567 LILAC WAY PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1567 LILAC WAY,PARADISE,CA,95969,1567 LILAC WAY PARADISE,510
511,1590 GATE LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1590 GATE LN,PARADISE,CA,95969,1590 GATE LN PARADISE,511
512,5577 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5577 SCOTTWOOD RD,PARADISE,CA,95969,5577 SCOTTWOOD RD PARADISE,512
513,901 WAGSTAFF RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,901 WAGSTAFF RD,PARADISE,CA,95969,901 WAGSTAFF RD PARADISE,513
514,14435 SKWY #A and B MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14435 SKWY #A and B,MAGALIA,CA,95954,14435 SKWY #A and B MAGALIA,514
515,6742 INDIAN DR MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,6742 INDIAN DR,MAGALIA,CA,95954,6742 INDIAN DR MAGALIA,515
516,6467 GREGORY LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6467 GREGORY LN,PARADISE,CA,95969,6467 GREGORY LN PARADISE,516
517,341 SANBAR CT PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,341 SANBAR CT,PARADISE,CA,95969,341 SANBAR CT PARADISE,517
518,1011 VILLAGE PKWY #A PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1011 VILLAGE PKWY #A,PARADISE,CA,95969,1011 VILLAGE PKWY #A PARADISE,518
519,6374 PONDEROSA WAY MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,6374 PONDEROSA WAY,MAGALIA,CA,95954,6374 PONDEROSA WAY MAGALIA,519
520,13776 GILFILLAN DR MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,13776 GILFILLAN DR,MAGALIA,CA,95954,13776 GILFILLAN DR MAGALIA,520
521,6033 MARY LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6033 MARY LN,PARADISE,CA,95969,6033 MARY LN PARADISE,521
522,5846 JAMES DR #B PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5846 JAMES DR #B,PARADISE,CA,95969,5846 JAMES DR #B PARADISE,522
523,14258 SKWY CHICO CA 95954,Destroyed (>50%),,Jimmy,,,14258 SKWY,CHICO,CA,95954,14258 SKWY CHICO,523
524,455 APPLE LN PARADISE CA 95969,Destroyed (>50%),Addr#473,,,,455 APPLE LN,PARADISE,CA,95969,455 APPLE LN PARADISE,524
525,6617 FIRLAND DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6617 FIRLAND DR,PARADISE,CA,95969,6617 FIRLAND DR PARADISE,525
526,5523 PALOMA AVE PARADISE CA 95969,No Visible Damage,,Jimmy,,,5523 PALOMA AVE,PARADISE,CA,95969,5523 PALOMA AVE PARADISE,526
527,14415 COLTER WAY MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14415 COLTER WAY,MAGALIA,CA,95954,14415 COLTER WAY MAGALIA,527
528,14360 SKWY #C6 MAGALIA CA 95954,No Visible Damage,Addr#509,,,,14360 SKWY #C6,MAGALIA,CA,95954,14360 SKWY #C6 MAGALIA,528
529,5780 DEANNA WAY PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5780 DEANNA WAY,PARADISE,CA,95969,5780 DEANNA WAY PARADISE,529
530,1087 PEARSON RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1087 PEARSON RD,PARADISE,CA,95969,1087 PEARSON RD PARADISE,530
531,13815 GRANADA DR MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,13815 GRANADA DR,MAGALIA,CA,95954,13815 GRANADA DR MAGALIA,531
532,115008 JACK PINE WAY MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,115008 JACK PINE WAY,MAGALIA,CA,95954,115008 JACK PINE WAY MAGALIA,532
533,1446 TONI DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1446 TONI DR,PARADISE,CA,95969,1446 TONI DR PARADISE,533
534,874 BUSCHMANN RD #A PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,874 BUSCHMANN RD #A,PARADISE,CA,95969,874 BUSCHMANN RD #A PARADISE,534
535,14380 CLARION WAY MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14380 CLARION WAY,MAGALIA,CA,95954,14380 CLARION WAY MAGALIA,535
536,546 CASTLE DR PARADISE CA 95969,Major (26-50%),,Jimmy,,,546 CASTLE DR,PARADISE,CA,95969,546 CASTLE DR PARADISE,536
537,14107 NORWICH CIR MAGALIA CA 95954,No Visible Damage,,Jimmy,,,14107 NORWICH CIR,MAGALIA,CA,95954,14107 NORWICH CIR MAGALIA,537
538,1760 ELYSEE DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1760 ELYSEE DR,PARADISE,CA,95969,1760 ELYSEE DR PARADISE,538
539,614 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,614 BOQUEST BLVD,PARADISE,CA,95969,614 BOQUEST BLVD PARADISE,539
540,15835 BILLUPS RD MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,15835 BILLUPS RD,MAGALIA,CA,95954,15835 BILLUPS RD MAGALIA,540
541,675 MARVIN DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,675 MARVIN DR,PARADISE,CA,95969,675 MARVIN DR PARADISE,541
542,5393 Sawmill Rd Paradise CA 95967,Destroyed (>50%),,Jimmy,,,5393 Sawmill Rd,Paradise,CA,95967,5393 Sawmill Rd Paradise,542
543,270 PACIFIC DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,270 PACIFIC DR,PARADISE,CA,95969,270 PACIFIC DR PARADISE,543
544,322 ROE RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,322 ROE RD,PARADISE,CA,95969,322 ROE RD PARADISE,544
545,14420 COLTER WAY MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14420 COLTER WAY,MAGALIA,CA,95954,14420 COLTER WAY MAGALIA,545
546,912 THOMASON LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,912 THOMASON LN,PARADISE,CA,95969,912 THOMASON LN PARADISE,546
547,13468 ADRIAN DR MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,13468 ADRIAN DR,MAGALIA,CA,95954,13468 ADRIAN DR MAGALIA,547
548,1438 STONEHURST DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1438 STONEHURST DR,PARADISE,CA,95969,1438 STONEHURST DR PARADISE,548
549,4025 WINDERMERE LN OROVILLE CA 95965,Destroyed (>50%),,Jimmy,,,4025 WINDERMERE LN,OROVILLE,CA,95965,4025 WINDERMERE LN OROVILLE,549
550,1900 MOLL RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1900 MOLL RD,PARADISE,CA,95969,1900 MOLL RD PARADISE,550
551,14766 GLENWOOD DR MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14766 GLENWOOD DR,MAGALIA,CA,95954,14766 GLENWOOD DR MAGALIA,551
552,5025 CIRCLE LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5025 CIRCLE LN,PARADISE,CA,95969,5025 CIRCLE LN PARADISE,552
553,5595 DE SANTE LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5595 DE SANTE LN,PARADISE,CA,95969,5595 DE SANTE LN PARADISE,553
554,6188 CENTER ST #15 PARADISE CA 95969,No Visible Damage,,Jimmy,,,6188 CENTER ST #15,PARADISE,CA,95969,6188 CENTER ST #15 PARADISE,554
555,13909 RUTGERS CT MAGALIA CA SAME,Destroyed (>50%),,Jimmy,,,13909 RUTGERS CT,MAGALI,CA, SAME,13909 RUTGERS CT MAGALI,555
556,5380 LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5380 LIBBY RD,PARADISE,CA,95969,5380 LIBBY RD PARADISE,556
557,3179 DRY CREEK RD BUTTE VALLEY CA 95965,,"Mobile home, no data to verify",Jimmy,,,3179 DRY CREEK RD BUTTE,VALLEY,CA,95965,3179 DRY CREEK RD BUTTE VALLEY,557
558,1837 MERRILL RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1837 MERRILL RD,PARADISE,CA,95969,1837 MERRILL RD PARADISE,558
559,13754 NAPA CT MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,13754 NAPA CT,MAGALIA,CA,95954,13754 NAPA CT MAGALIA,559
560,5720 MIDDLE LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5720 MIDDLE LIBBY RD,PARADISE,CA,95969,5720 MIDDLE LIBBY RD PARADISE,560
561,13613 S PARK DR MAGALIA CA 95954,No Visible Damage,,Jimmy,,,13613 S PARK DR,MAGALIA,CA,95954,13613 S PARK DR MAGALIA,561
562,6656 PENTZ RD #23 PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6656 PENTZ RD #23,PARADISE,CA,95969,6656 PENTZ RD #23 PARADISE,562
563,5823 COPELAND RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5823 COPELAND RD,PARADISE,CA,95969,5823 COPELAND RD PARADISE,563
564,5875 PENTZ RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5875 PENTZ RD,PARADISE,CA,95969,5875 PENTZ RD PARADISE,564
565,761 AMBROOK LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,761 AMBROOK LN,PARADISE,CA,95969,761 AMBROOK LN PARADISE,565
566,1246 ELLIOTT RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1246 ELLIOTT RD,PARADISE,CA,95969,1246 ELLIOTT RD PARADISE,566
567,2342 STEARNS RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,2342 STEARNS RD,PARADISE,CA,95969,2342 STEARNS RD PARADISE,567
568,60 ROE RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,60 ROE RD,PARADISE,CA,95969,60 ROE RD PARADISE,568
569,4242 WILFERN RD oroville CA 95965,Destroyed (>50%),,Jimmy,,,4242 WILFERN RD,oroville,CA,95965,4242 WILFERN RD oroville,569
570,14821 NORTHWOOD DR MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14821 NORTHWOOD DR,MAGALIA,CA,95954,14821 NORTHWOOD DR MAGALIA,570
571,7726 SKWY #3 PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,7726 SKWY #3,PARADISE,CA,95969,7726 SKWY #3 PARADISE,571
572,835 BILLE RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,835 BILLE RD,PARADISE,CA,95969,835 BILLE RD PARADISE,572
573,14864 WOOD DR MAGALIA CA 95954,,No data in this address to verify,Jimmy,,,14864 WOOD DR,MAGALIA,CA,95954,14864 WOOD DR MAGALIA,573
574,7726 SKWY #18 PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,7726 SKWY #18,PARADISE,CA,95969,7726 SKWY #18 PARADISE,574
575,5486 PENTZ RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5486 PENTZ RD,PARADISE,CA,95969,5486 PENTZ RD PARADISE,575
576,14360 SKWY #C15 MAGALIA CA 95954,No Visible Damage,,Jimmy,,,14360 SKWY #C15,MAGALIA,CA,95954,14360 SKWY #C15 MAGALIA,576
577,5682 CHERRY LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5682 CHERRY LN,PARADISE,CA,95969,5682 CHERRY LN PARADISE,577
578,1671 PAMELA DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1671 PAMELA DR,PARADISE,CA,95969,1671 PAMELA DR PARADISE,578
579,1751 DRAYER DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1751 DRAYER DR,PARADISE,CA,95969,1751 DRAYER DR PARADISE,579
580,5778 BONNIE LN PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5778 BONNIE LN,PARADISE,CA,95969,5778 BONNIE LN PARADISE,580
581,6100 ROSSI WAY PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6100 ROSSI WAY,PARADISE,CA,95969,6100 ROSSI WAY PARADISE,581
582,3938 DANVILLE CIR OROVILLE CA 95965,,"No data to verify, but neighbors are destryed.",Jimmy,,,3938 DANVILLE CIR,OROVILLE,CA,95965,3938 DANVILLE CIR OROVILLE,582
583,5569 ANGEL DR PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5569 ANGEL DR,PARADISE,CA,95969,5569 ANGEL DR PARADISE,583
584,14151 ELMIRA CIR MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,14151 ELMIRA CIR,MAGALIA,CA,95954,14151 ELMIRA CIR MAGALIA,584
585,6105 SAWMILL RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6105 SAWMILL RD,PARADISE,CA,95969,6105 SAWMILL RD PARADISE,585
586,7726 SKWY #28 PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,7726 SKWY #28,PARADISE,CA,95969,7726 SKWY #28 PARADISE,586
587,1685 AMBERWOOD TER PARADISE CA 95969,,Invalid Address,Jimmy,,,1685 AMBERWOOD TER,PARADISE,CA,95969,1685 AMBERWOOD TER PARADISE,587
588,6310 OAK WAY PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6310 OAK WAY,PARADISE,CA,95969,6310 OAK WAY PARADISE,588
589,5268 SCOTTWOOD RD PARADISE CA 95969,Destroyed (>50%),Addr#69,,,,5268 SCOTTWOOD RD,PARADISE,CA,95969,5268 SCOTTWOOD RD PARADISE,589
590,5887 LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5887 LIBBY RD,PARADISE,CA,95969,5887 LIBBY RD PARADISE,590
591,6255 SAWMILL RD PARADISE CA 95969,No Visible Damage,,Jimmy,,,6255 SAWMILL RD,PARADISE,CA,95969,6255 SAWMILL RD PARADISE,591
592,1067 BILLE RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1067 BILLE RD,PARADISE,CA,95969,1067 BILLE RD PARADISE,592
593,6152 N LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,6152 N LIBBY RD,PARADISE,CA,95969,6152 N LIBBY RD PARADISE,593
594,1515 ROSEMARY CT PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,1515 ROSEMARY CT,PARADISE,CA,95969,1515 ROSEMARY CT PARADISE,594
595,6428 VENTURA DR MAGALIA CA 95954,Destroyed (>50%),Duplicate of #4021,Jimmy,,,6428 VENTURA DR,MAGALIA,CA,95954,6428 VENTURA DR MAGALIA,595
596,5327 BENNETT RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5327 BENNETT RD,PARADISE,CA,95969,5327 BENNETT RD PARADISE,596
597,5659 MIDDLE LIBBY RD PARADISE CA 95969,Destroyed (>50%),,Jimmy,,,5659 MIDDLE LIBBY RD,PARADISE,CA,95969,5659 MIDDLE LIBBY RD PARADISE,597
598,6273 PRENTIS CT MAGALIA CA 95954,Destroyed (>50%),,Jimmy,,,6273 PRENTIS CT,MAGALIA,CA,95954,6273 PRENTIS CT MAGALIA,598
599,12475 CENTERVILLE RD CHICO CA 95928,Destroyed (>50%),,Jimmy,,,12475 CENTERVILLE RD,CHICO,CA,95928,12475 CENTERVILLE RD CHICO,599
600,3857 CHEROKEE RD OROVILE CA 95965,,"No data to verify, neighbors are fine.",Jimmy,,,3857 CHEROKEE RD,OROVILE,CA,95965,3857 CHEROKEE RD OROVILE,600
601,1966 MOUNTAIN VIEW DR PARADISE CA 95969,Destroyed (>50%),,,,,1966 MOUNTAIN VIEW DR,PARADISE,CA,95969,1966 MOUNTAIN VIEW DR PARADISE,601
602,2393 TOKAY CT PARADISE CA 95969,Destroyed (>50%),,,,,2393 TOKAY CT,PARADISE,CA,95969,2393 TOKAY CT PARADISE,602
603,6201 CODY CT MAGALIA CA 95954,,no data to verify,,,,6201 CODY CT,MAGALIA,CA,95954,6201 CODY CT MAGALIA,603
604,6216 HIMMEL ST PARADISE CA 95969,Destroyed (>50%),,,,,6216 HIMMEL ST,PARADISE,CA,95969,6216 HIMMEL ST PARADISE,604
605,92 Pearson Rd Paradise CA 95969,Destroyed (>50%),,,,,92 Pearson Rd,Paradise,CA,95969,92 Pearson Rd Paradise,605
606,6902 FARBER LN #a PARADISE CA 95969,Destroyed (>50%),,Bob,,,6902 FARBER LN #a,PARADISE,CA,95969,6902 FARBER LN #a PARADISE,606
607,6141 DUNCOMBE DR PARADISE CA 95969,Destroyed (>50%),,Bob,,,6141 DUNCOMBE DR,PARADISE,CA,95969,6141 DUNCOMBE DR PARADISE,607
608,1424 W DOTTIE LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1424 W DOTTIE LN,PARADISE,CA,95969,1424 W DOTTIE LN PARADISE,608
609,5900 N Libby Rd Paradise CA 95969,Destroyed (>50%),,Bob,,,5900 N Libby Rd,Paradise,CA,95969,5900 N Libby Rd Paradise,609
610,199 PACIFIC DR PARADISE CA 95969,Destroyed (>50%),,Bob,,,199 PACIFIC DR,PARADISE,CA,95969,199 PACIFIC DR PARADISE,610
611,1422 W Dottie Ln Paradise CA 95696,Destroyed (>50%),,Bob,,,1422 W Dottie Ln,Paradise,CA,95696,1422 W Dottie Ln Paradise,611
612,199 PACIFIC DR PARADISE CA 95969,Destroyed (>50%),Addr#610,dup,,,199 PACIFIC DR,PARADISE,CA,95969,199 PACIFIC DR PARADISE,612
613,1578 MARSTON WAY PARADISE CA 95969,Destroyed (>50%),,Bob,,,1578 MARSTON WAY,PARADISE,CA,95969,1578 MARSTON WAY PARADISE,613
614,8764 SKWY #B1 PARADISE CA 95969,Destroyed (>50%),,Bob,,,8764 SKWY #B1,PARADISE,CA,95969,8764 SKWY #B1 PARADISE,614
615,6473 CENDAR LAKE DR MAGALIA CA 95954,,no data,,,,6473 CENDAR LAKE DR,MAGALIA,CA,95954,6473 CENDAR LAKE DR MAGALIA,615
616,3660 SUNVIEW DR PARADISE CA 95969,,no data,,,,3660 SUNVIEW DR,PARADISE,CA,95969,3660 SUNVIEW DR PARADISE,616
617,3801-B HONEYRUN RD PARADISE CA 95969,Destroyed (>50%),,Bob,,,3801-B HONEYRUN RD,PARADISE,CA,95969,3801-B HONEYRUN RD PARADISE,617
618,7035 PENTZ RD #26 PARADISE CA 95969,Destroyed (>50%),,Bob,,,7035 PENTZ RD #26,PARADISE,CA,95969,7035 PENTZ RD #26 PARADISE,618
619,5965 MCCLAIN LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,5965 MCCLAIN LN,PARADISE,CA,95969,5965 MCCLAIN LN PARADISE,619
620,1438 SLEEPY HOLLOW LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1438 SLEEPY HOLLOW LN,PARADISE,CA,95969,1438 SLEEPY HOLLOW LN PARADISE,620
621,941 CENTRAL PARK DR PARADISE CA 95969,Destroyed (>50%),,Bob,,,941 CENTRAL PARK DR,PARADISE,CA,95969,941 CENTRAL PARK DR PARADISE,621
622,998 Bella Vista Ave #4 Paradise CA 95969,Destroyed (>50%),,Bob,,,998 Bella Vista Ave #4,Paradise,CA,95969,998 Bella Vista Ave #4 Paradise,622
623,5755 SHADY LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,5755 SHADY LN,PARADISE,CA,95969,5755 SHADY LN PARADISE,623
624,5649 BUTTE VIEW TER PARADISE CA 95969,Destroyed (>50%),,Bob,,,5649 BUTTE VIEW TER,PARADISE,CA,95969,5649 BUTTE VIEW TER PARADISE,624
625,1647 NUNNELEY RD #C PARADISE CA 95969,Destroyed (>50%),,Bob,,,1647 NUNNELEY RD #C,PARADISE,CA,95969,1647 NUNNELEY RD #C PARADISE,625
626,9301A SKWY PARADISE CA 95969,,not sure is commerical building or not,,,,9301A SKWY,PARADISE,CA,95969,9301A SKWY PARADISE,626
627,5309 FOSTER RD PARADISE CA 95969,Destroyed (>50%),,Bob,,,5309 FOSTER RD,PARADISE,CA,95969,5309 FOSTER RD PARADISE,627
628,6582 Rocky Lane #10	Paradise	CA	95969,,no data,,,,6582 Rocky Lane,#10	Paradise,CA,95969,6582 Rocky Lane #10	Paradise,628
629,5436 CLARK RD #10 PARADISE CA 95969,,not sure is commerical building or not,,,,5436 CLARK RD #10,PARADISE,CA,95969,5436 CLARK RD #10 PARADISE,629
630,13650 W PARK DR MAGALIA CA 95954,Destroyed (>50%),,Bob,,,13650 W PARK DR,MAGALIA,CA,95954,13650 W PARK DR MAGALIA,630
631,1622 YOUNG AVE PARADISE CA 95969,Destroyed (>50%),,Bob,,,1622 YOUNG AVE,PARADISE,CA,95969,1622 YOUNG AVE PARADISE,631
632,633 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),,Bob,,,633 BOQUEST BLVD,PARADISE,CA,95969,633 BOQUEST BLVD PARADISE,632
633,6327 FRANK TURNER WAY PARADISE CA 95969,Destroyed (>50%),Addr#363,,,,6327 FRANK TURNER WAY,PARADISE,CA,95969,6327 FRANK TURNER WAY PARADISE,633
634,5461 EADGEWOOD LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,5461 EADGEWOOD LN,PARADISE,CA,95969,5461 EADGEWOOD LN PARADISE,634
635,6312 CHATHAM CT MAGALIA CA 95954,Destroyed (>50%),,Bob,,,6312 CHATHAM CT,MAGALIA,CA,95954,6312 CHATHAM CT MAGALIA,635
636,1354 Elliott Rd #17 Paradise CA 95969,Destroyed (>50%),,Bob,,,1354 Elliott Rd #17,Paradise,CA,95969,1354 Elliott Rd #17 Paradise,636
637,6307 AZALEA LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,6307 AZALEA LN,PARADISE,CA,95969,6307 AZALEA LN PARADISE,637
638,6180 BOWLES BLVD PARADISE CA 95969,Destroyed (>50%),,Bob,,,6180 BOWLES BLVD,PARADISE,CA,95969,6180 BOWLES BLVD PARADISE,638
639,488 BOQUEST BLVD PARADISE CA 95969,Destroyed (>50%),,Bob,,,488 BOQUEST BLVD,PARADISE,CA,95969,488 BOQUEST BLVD PARADISE,639
640,4903 SKWY #D PARADISE CA 95969,Destroyed (>50%),,Bob,,,4903 SKWY #D,PARADISE,CA,95969,4903 SKWY #D PARADISE,640
641,1757 WHITAKER RD PARADISE CA 95969,Destroyed (>50%),,Bob,,,1757 WHITAKER RD,PARADISE,CA,95969,1757 WHITAKER RD PARADISE,641
642,1562 KAY CT PARADISE CA 95969,Destroyed (>50%),,Bob,,,1562 KAY CT,PARADISE,CA,95969,1562 KAY CT PARADISE,642
643,1040 BUSCHMANN RD #63 PARADISE CA 95969,Destroyed (>50%),,Bob,,,1040 BUSCHMANN RD #63,PARADISE,CA,95969,1040 BUSCHMANN RD #63 PARADISE,643
644,1783 SUNRISE LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,1783 SUNRISE LN,PARADISE,CA,95969,1783 SUNRISE LN PARADISE,644
645,708 POPPY LN PARADISE CA 95969,Destroyed (>50%),,Bob,,,708 POPPY LN,PARADISE,CA,95969,708 POPPY LN PARADISE,645
646,1631 TIMBERWALK WAY PARADISE CA 95969,Destroyed (>50%),,Bob,,,1631 TIMBERWALK WAY,PARADISE,CA,95969,1631 TIMBERWALK WAY PARADISE,646
